categoria,nombre,url_logo
Variedades,TLC,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/l/tlc.png
Variedades,EL GOURMET,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/2/3/232_1.png
Variedades,TNT Novelas,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/n/tnt_novelas_white.png
Variedades,LIFETIME,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/i/lifetime.png
Variedades,HGTV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/h/g/hgtv.png
Variedades,DISCOVERY TURBO,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/discovery_turbo.png
Variedades,COMEDY CENTRAL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/o/comedy_central_fundo_escuro.png
Variedades,USA,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/s/y/syfy.png
Variedades,ADULT SWIM,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_as_white.png
Variedades,DISCOVERY HOME & HEALTH,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/2/2/229.png
Variedades,TELEMUNDO,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/e/telemundo.png
Variedades,E! ENTERTAINMENT,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/e/_/e_blanco_1_1.png
Variedades,HOLA TV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/2/2/221_-_hola_tv_1.png
Variedades,A&E,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/_/a_e_fundo_escuro.png
Variedades,FOOD NETWORK,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/o/food_network_1.png
Películas y Series,Volver,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/v/o/volver.png
Películas y Series,Sony Movies,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/s/o/sony_movies.png
Películas y Series,Atres Series,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/3/a3_series.png
Películas y Series,FreeTV Hits,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/h/i/hits.png
Películas y Series,FreeTV Saber Más,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/s/a/saber_.png
Películas y Series,FreeTV Terror,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/e/terror.png
Películas y Series,FreeTV Familia,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/a/familia.png
Películas y Series,Azteca Cinema,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/i/cinema.png
Películas y Series,Azteca Clic,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/l/clic.png
Películas y Series,Azteca Corazón,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/o/corazon.png
Películas y Series,ATRES SERIES,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/t/atres-series-.png
Películas y Series,AMC,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/m/amc_fundo_escuro.png
Películas y Series,WARNER CHANNEL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/0/0/0000_all_l_warner-logo_warner_2018_-_blanco_1.png
Películas y Series,AXN,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/x/axn_fundo_escuro_1.png
Películas y Series,CINEMAX,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/i/cinemax.png
Películas y Series,FX,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/x/fx_fundo_escuro.png
Películas y Series,SONY MOVIES,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/s/o/sony_movies_logo_1.png
Películas y Series,SONY CHANNEL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_sony_channel.png
Películas y Series,SPACE,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/5/1/518_-_space_2.png
Películas y Series,STAR CHANNEL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/s/t/star_channel.png
Películas y Series,CINECANAL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/5/0/507_para_fondo_negro_2_1.png
Películas y Series,STUDIO UNIVERSAL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/s/t/studio_universal.png
Películas y Series,TNT,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/n/tnt_fundo_escuro.png
Películas y Series,TNT SERIES,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/n/tnt_series.png
Películas y Series,UNIVERSAL TV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/u/n/universal_tv.png
Películas y Series,FreeTV Estelar,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/e/s/estelar.png
Películas y Series,FreeTV Drama,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/r/drama.png
